sector,latitude,longitude,price
dwarka expressway,28.557,77.108,1.3725
gwal pahari,28.4484,77.021,3.192222222
manesar,28.3515,76.9428,0.962258065
sector 1,28.3663,76.9456,1.86
sector 10,28.4537,77.0009,2.092857143
sector 102,28.475,76.9715,1.696635514
sector 103,28.4949,76.9845,1.495
sector 104,28.4788,76.996,1.62238806
sector 105,28.4952,77.0114,1.198
sector 106,28.5007,77.0003,1.548421053
sector 107,28.5052,76.9729,0.776101695
sector 108,28.5134,76.983,1.996724138
sector 109,28.5073,77.0089,3.986860465
sector 11,28.4531,77.0202,1.446875
sector 110,28.5145,77.0197,2.507391304
sector 111,28.5238,77.032,2.9
sector 112,28.5189,77.0183,4.514782609
sector 113,28.5287,77.0233,2.465813953
sector 12,28.4723,77.032,1.63625
sector 13,28.4757,77.0392,2.441111111
sector 14,28.4711,77.0454,4.590555556
sector 15,28.4621,77.0464,2.716666667
sector 17,28.4791,77.0608,4.694
sector 2,28.5095,77.032,2.444754098
sector 21,28.5134,77.0723,1.025
sector 22,28.5072,77.064,3.429
sector 23,28.5121,77.0478,3.343076923
sector 24,28.4939,77.1038,4.7825
sector 25,28.4844,77.086,8.663783784
sector 26,28.4757,77.1032,11.81
sector 27,28.4658,77.0917,6.125
sector 28,28.4728,77.0865,4.618461538
sector 3,28.4909,77.0176,0.97125
sector 30,28.4604,77.0579,1.568
sector 31,28.4528,77.0498,3.534
sector 33,28.442,77.0207,2.747910448
sector 36,28.416,76.9914,1.051818182
sector 37,28.4375,76.9999,0.971346154
sector 37d,28.4478,76.9703,1.271587302
sector 38,28.4347,77.043,3.89
sector 39,28.4434,77.0515,3.621818182
sector 4,28.4738,77.0107,1.169333333
sector 40,28.4498,77.0567,3.15
sector 41,28.4557,77.0632,6.140909091
sector 43,28.4629,77.0772,5.855517241
sector 45,28.4466,77.066,8.49875
sector 46,28.4374,77.0586,3.795454545
sector 47,28.4276,77.0492,2.95
sector 48,28.4177,77.0359,6.079818182
sector 49,28.4121,77.048,3.072666667
sector 5,28.4794,77.0176,1.07
sector 50,28.4178,77.0628,6.735409836
sector 51,28.432,77.0686,1.558571429
sector 52,28.4379,77.0785,2.714285714
sector 53,28.4433,77.0948,5.782857143
sector 54,28.4348,77.1089,5.334615385
sector 55,28.4281,77.11,3.108
sector 56,28.4245,77.0991,2.072641509
sector 57,28.4232,77.0752,4.673043478
sector 58,28.42,77.1105,3.297142857
sector 59,28.4051,77.1097,4.875
sector 6,28.4745,77.0262,0.692727273
sector 60,28.4003,77.0975,3.987333333
sector 61,28.405,77.0963,2.088292683
sector 62,28.4139,77.0886,5.65625
sector 63,28.3971,77.0867,4.663571429
sector 63a,28.3923,77.0888,2.75
sector 65,28.403,77.069,3.309770115
sector 66,28.3925,77.0541,5.640487805
sector 67,28.3859,77.0608,3.122340426
sector 67a,28.396,77.0372,1.418571429
sector 68,28.3853,77.0484,1.247666667
sector 69,28.3966,77.0341,1.568387097
sector 7,28.4644,77.0143,1.736285714
sector 70,28.3968,77.0233,1.630408163
sector 70a,28.3944,77.02162,2.199814815
sector 71,28.4104,77.0281,0.948518519
sector 72,28.4225,77.0211,4.163448276
sector 73,28.4072,77.0118,6.3
sector 74,28.4158,77.0118,1.772222222
sector 76,28.3935,76.9888,1.682
sector 77,28.3801,76.9845,1.325185185
sector 78,28.3733,76.9729,1.18625
sector 79,28.3624,76.9787,1.384473684
sector 8,28.3738,76.897,0.745714286
sector 80,28.3659,76.9557,1.27
sector 81,28.3867,76.9485,1.924597701
sector 82,28.3935,76.96,2.099512195
sector 82a,28.3858,76.9686,2.304736842
sector 83,28.3986,76.9647,1.263235294
sector 84,28.3979,76.9736,0.967755102
sector 85,28.4042,76.9513,1.500092593
sector 86,28.3986,76.9384,1.201774194
sector 88,28.422,76.9571,0.98
sector 88a,28.4347,76.9557,1.326818182
sector 89,28.4253,76.9439,1.101754386
sector 9,28.4603,77,1.472272727
sector 90,28.4085,76.9369,1.196404494
sector 91,28.4014,76.9225,1.648235294
sector 92,28.4079,76.9153,0.934
sector 93,28.4153,76.9326,0.848888889
sector 95,28.4172,76.9081,0.480545455
sector 99,28.464,76.9614,1.008095238
sohna road,28.4281,77.0345,0.66208589
